I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-18,-23,-5,21,-6,-14,7,-103,-105,-85,-111,-91
-17,-25,-8,21,-4,-16,5,-107,-108,-86,-110,-93
-18,-22,-4,20,-7,-13,11,-113,-110,-91,-114,-84
-15,-19,-4,17,-6,-11,9,-119,-115,-96,-117,-85
-17,-16,1,16,-9,-7,15,-112,-108,-89,-111,-79
-16,-11,4,14,-10,-3,15,-114,-108,-91,-112,-76
-19,-12,7,16,-13,-2,15,-107,-104,-83,-104,-77
-24,-10,14,17,-19,2,18,-105,-100,-80,-102,-72
-26,-11,15,19,-21,3,15,-109,-106,-81,-103,-78
-28,-11,17,20,-23,3,15,-105,-103,-76,-97,-80
-21,-8,13,15,-17,3,8,-112,-111,-82,-100,-87
-18,-9,8,14,-13,0,4,-115,-116,-86,-103,-91
-14,-7,7,10,-10,0,6,-122,-121,-97,-117,-82
-9,-6,2,8,-6,-2,3,-127,-127,-104,-122,-82
-10,-6,4,8,-7,-1,8,-120,-118,-97,-113,-75
-8,-5,3,7,-5,-1,10,-121,-118,-100,-117,-72
-10,-8,1,9,-5,-3,13,-114,-112,-93,-113,-73
-13,-9,3,11,-8,-3,17,-111,-107,-89,-112,-69
-14,-13,1,14,-8,-6,13,-114,-111,-88,-110,-76
-16,-16,0,16,-8,-8,12,-110,-108,-80,-103,-81
-8,-15,-6,12,-1,-10,5,-118,-117,-85,-106,-93
-4,-12,-8,8,2,-10,1,-122,-121,-86,-108,-100
2,-1,-3,0,3,-2,4,-129,-124,-96,-121,-95
6,3,-3,-5,5,0,1,-135,-129,-101,-126,-97
4,5,1,-4,1,3,7,-126,-120,-91,-118,-90
3,5,2,-4,1,4,8,-126,-119,-94,-120,-87
-3,0,3,2,-3,1,11,-119,-112,-87,-115,-88
-8,-1,7,5,-8,3,17,-114,-104,-81,-111,-82
-10,-3,8,7,-9,3,15,-113,-104,-76,-106,-88
-9,-1,9,5,-9,4,17,-106,-99,-68,-98,-88
3,7,4,-5,-1,6,11,-111,-106,-73,-101,-95
6,7,1,-6,2,4,9,-112,-108,-73,-101,-100
5,8,3,-6,1,5,13,-118,-111,-81,-110,-96
7,8,1,-7,3,4,12,-123,-114,-86,-115,-97
3,8,5,-5,-1,6,20,-115,-104,-81,-112,-85
2,6,4,-4,-1,6,21,-115,-101,-81,-112,-79
-4,-1,3,3,-3,1,20,-104,-92,-68,-99,-75
-9,-7,3,8,-6,-2,23,-99,-85,-63,-95,-68
-13,-15,-2,14,-5,-8,19,-100,-87,-62,-93,-73
-14,-17,-3,15,-5,-10,19,-93,-82,-56,-88,-73
-5,-12,-7,8,1,-9,14,-97,-88,-62,-94,-79
-6,-15,-9,11,1,-12,9,-98,-90,-62,-92,-83
-11,-18,-7,15,-2,-12,10,-104,-91,-70,-98,-77
-12,-20,-8,17,-2,-14,6,-108,-95,-73,-100,-82
-17,-21,-4,19,-7,-12,11,-100,-86,-66,-93,-78
-16,-19,-3,18,-6,-11,14,-101,-86,-69,-96,-78
-18,-21,-3,19,-7,-12,19,-92,-79,-62,-90,-78
-18,-18,-1,18,-9,-9,24,-86,-72,-57,-87,-72
-16,-19,-3,17,-6,-11,21,-84,-71,-51,-82,-77
-16,-20,-4,18,-6,-12,20,-78,-65,-43,-75,-77
-9,-19,-10,14,1,-14,11,-86,-71,-49,-80,-84
-8,-21,-13,15,2,-17,8,-87,-72,-48,-78,-88
-7,-17,-10,12,2,-14,14,-91,-74,-55,-84,-83
-5,-14,-9,10,2,-12,13,-94,-75,-58,-86,-84
-9,-10,-2,10,-3,-6,21,-84,-62,-48,-81,-74
-7,-5,2,6,-5,-1,23,-82,-57,-47,-80,-67
-11,-5,6,8,-8,1,26,-70,-46,-34,-67,-62
-9,-2,7,5,-8,3,32,-61,-36,-26,-59,-54
-2,-2,-1,2,-1,-1,32,-56,-34,-18,-51,-59
0,-5,-5,3,2,-5,35,-47,-28,-8,-41,-59
6,-7,-14,1,10,-10,31,-52,-34,-12,-42,-67
5,-14,-19,5,12,-16,29,-52,-36,-11,-42,-71
2,-17,-19,8,10,-18,31,-58,-40,-21,-53,-66
1,-21,-21,10,11,-21,29,-61,-43,-26,-58,-68
-5,-23,-18,14,6,-20,37,-54,-34,-20,-54,-61
-6,-24,-18,15,6,-21,39,-53,-31,-21,-56,-57
-11,-29,-18,20,4,-24,42,-42,-21,-11,-48,-53
-15,-31,-16,23,0,-23,47,-36,-14,-6,-44,-49
-18,-34,-17,26,-1,-25,45,-33,-13,0,-38,-57
-21,-37,-16,30,-3,-27,48,-26,-8,7,-31,-60
-16,-37,-21,27,2,-29,43,-32,-16,1,-34,-70
-14,-37,-24,26,5,-31,41,-33,-17,1,-33,-74
-8,-31,-23,19,8,-27,43,-39,-19,-10,-42,-66
2,-23,-25,10,13,-23,42,-40,-19,-10,-43,-66
9,-10,-19,1,14,-15,51,-27,-5,2,-32,-54
13,-6,-19,-3,16,-12,53,-25,-2,4,-32,-52
7,-12,-19,2,13,-15,54,-14,6,16,-22,-51
0,-19,-18,10,9,-18,56,-11,10,19,-23,-45
-9,-32,-23,21,7,-28,49,-13,7,18,-25,-48
-13,-37,-24,25,5,-30,51,-8,12,25,-20,-47
-6,-34,-28,20,11,-31,49,-13,7,22,-22,-55
-4,-34,-30,20,13,-32,47,-13,6,22,-21,-61
-2,-31,-28,17,13,-29,46,-19,1,11,-31,-60
-1,-31,-31,16,15,-31,41,-23,-2,7,-34,-63
-4,-32,-28,18,12,-30,46,-15,9,14,-28,-55
-4,-33,-29,19,12,-31,48,-17,9,12,-29,-52
-11,-39,-28,25,9,-34,53,-10,15,20,-19,-50
-14,-41,-27,27,7,-34,59,-7,19,21,-17,-45
-14,-45,-31,30,8,-38,55,-5,16,22,-16,-52
-16,-47,-31,32,7,-39,56,2,20,28,-10,-51
-11,-46,-35,29,12,-41,49,-3,13,24,-14,-57
-12,-50,-38,31,13,-44,45,-5,11,23,-13,-61
-13,-51,-38,32,12,-45,44,-15,7,11,-23,-57
-12,-51,-39,32,14,-45,40,-20,3,7,-25,-58
-14,-47,-33,30,9,-40,47,-12,13,13,-19,-46
-7,-38,-31,23,12,-34,51,-13,14,12,-20,-41
-3,-31,-28,17,13,-30,58,-4,22,24,-9,-36
1,-24,-25,11,13,-24,63,3,29,30,-2,-32
4,-22,-26,9,15,-24,59,8,32,40,8,-41
-3,-27,-24,15,11,-26,57,13,35,46,12,-44
-9,-37,-28,23,10,-32,47,1,21,34,1,-55
-11,-42,-31,27,10,-37,41,-2,17,32,-1,-60
-7,-39,-33,23,13,-36,40,-10,12,21,-11,-58
0,-36,-36,18,18,-36,37,-12,9,18,-13,-60
2,-30,-31,14,16,-30,46,-2,18,27,-6,-51
1,-30,-30,15,16,-30,47,-4,16,23,-9,-49
-10,-38,-28,24,9,-33,51,2,22,28,-3,-48
-15,-40,-25,28,5,-33,54,4,25,28,-4,-40
-16,-43,-27,30,6,-35,49,6,25,31,-1,-39
-19,-45,-26,32,4,-35,50,12,31,38,6,-35
-15,-46,-31,31,8,-38,45,6,26,35,5,-42
-14,-48,-34,31,10,-41,44,7,26,38,9,-50
-9,-44,-35,26,13,-40,46,-1,22,29,3,-53
-7,-43,-36,25,15,-40,42,-5,18,25,-1,-61
-12,-41,-29,27,8,-35,47,0,24,28,-2,-56
-14,-40,-26,27,6,-33,47,-4,21,21,-9,-58
-20,-44,-24,32,2,-34,51,1,27,26,-5,-60
-23,-42,-20,33,-1,-31,54,2,30,26,-7,-57
-22,-42,-20,32,-1,-31,49,3,28,29,-6,-64
-23,-40,-17,32,-3,-29,50,8,32,35,-2,-62
-17,-37,-19,27,1,-28,42,1,25,31,-8,-68
-12,-34,-22,23,5,-28,39,2,24,33,-5,-72
-2,-26,-24,14,11,-25,39,-4,19,26,-11,-72
2,-24,-26,11,14,-25,37,-8,13,21,-16,-77
0,-22,-22,12,11,-22,45,-2,19,22,-17,-71
-1,-23,-22,12,11,-22,46,-4,18,16,-25,-66
-7,-29,-21,18,7,-25,50,4,28,23,-22,-56
-4,-25,-20,15,8,-22,54,7,34,25,-20,-46
5,-20,-24,8,15,-22,50,10,35,31,-12,-49
5,-19,-25,7,15,-22,50,18,40,40,-3,-46
8,-22,-31,7,19,-26,41,14,33,36,-3,-51
4,-28,-32,12,18,-30,38,13,31,37,0,-54
2,-29,-31,13,16,-29,37,3,24,26,-7,-52
1,-31,-32,15,16,-31,34,-3,19,21,-10,-56
-4,-31,-27,17,12,-29,41,1,27,25,-8,-50
-1,-28,-27,15,13,-27,41,-1,27,22,-10,-49
-3,-28,-25,15,11,-26,46,10,36,32,2,-45
-5,-26,-22,16,9,-24,49,14,40,35,6,-43
-7,-30,-23,19,8,-27,45,17,38,41,10,-53
-15,-37,-21,26,3,-29,47,22,41,44,12,-53
-20,-45,-26,32,3,-35,40,12,31,33,2,-57
-22,-51,-29,36,4,-40,36,11,29,33,2,-59
-17,-49,-32,33,8,-41,34,4,23,25,-4,-57
-12,-47,-35,30,11,-41,30,1,20,22,-6,-59
-12,-42,-30,27,9,-36,36,8,29,25,-5,-48
-9,-40,-31,25,11,-35,36,6,29,22,-7,-48
-13,-44,-32,28,9,-38,40,16,37,34,5,-47
-12,-44,-31,28,10,-38,44,18,40,36,7,-44
-10,-45,-35,28,13,-40,41,20,40,40,12,-51
-11,-46,-35,29,12,-40,44,26,44,46,16,-52
-7,-46,-39,26,16,-43,38,20,35,40,10,-63
-7,-50,-43,29,18,-46,37,19,32,40,8,-69
-6,-52,-46,29,20,-49,37,8,25,26,-5,-70
-4,-55,-51,30,24,-53,33,0,18,17,-14,-75
-6,-56,-50,31,22,-53,39,1,21,15,-19,-68
-2,-55,-53,29,25,-54,37,-3,18,9,-25,-72
-3,-58,-55,31,26,-56,38,5,25,18,-16,-76
-8,-61,-53,35,22,-57,39,6,27,18,-16,-77
-17,-70,-53,44,18,-61,33,6,25,20,-14,-88
-23,-73,-50,48,13,-62,35,10,28,25,-9,-92
-20,-73,-53,46,17,-63,29,2,21,19,-13,-105
-19,-74,-55,47,18,-65,27,2,20,20,-13,-111
-14,-72,-57,43,22,-65,25,-6,13,9,-26,-109
-9,-70,-61,39,26,-66,20,-9,8,6,-30,-111
-5,-65,-59,35,27,-62,24,-2,13,9,-29,-101
-9,-68,-60,39,25,-64,22,-7,8,3,-34,-97
-25,-81,-57,53,16,-69,26,-4,12,7,-30,-90
-33,-89,-56,61,11,-72,30,-5,12,5,-30,-82
-39,-99,-60,69,11,-79,29,-4,11,7,-25,-85
-40,-101,-61,71,10,-81,34,3,16,13,-19,-83
-33,-99,-66,66,17,-83,29,-2,9,9,-20,-92
-30,-100,-70,65,20,-85,30,-1,8,11,-18,-99
-24,-97,-73,61,24,-85,33,-10,1,1,-27,-102
-19,-94,-75,56,28,-85,35,-14,-3,-5,-33,-104
-16,-86,-70,51,27,-78,47,-9,4,-7,-37,-88
-12,-83,-71,47,30,-77,51,-10,5,-9,-40,-80
-15,-85,-70,50,28,-78,60,1,17,6,-28,-68
-20,-88,-69,54,24,-78,65,4,23,9,-24,-61
-29,-98,-70,63,20,-84,62,7,25,15,-16,-66
-39,-104,-65,71,13,-84,66,12,31,21,-10,-66
-43,-108,-65,75,11,-86,61,6,23,16,-15,-77
-48,-111,-64,80,8,-87,60,8,24,19,-12,-81
-46,-109,-63,78,9,-86,58,1,19,10,-21,-82
-45,-111,-66,78,10,-88,55,-1,17,8,-22,-86
-47,-110,-63,78,8,-86,64,5,27,12,-19,-77
-44,-108,-64,76,10,-86,66,3,26,9,-22,-79
-45,-109,-63,77,9,-86,72,12,32,18,-16,-80
-44,-105,-61,75,8,-83,75,15,35,19,-18,-79
-44,-105,-60,75,8,-83,72,20,37,25,-14,-85
-46,-104,-58,75,6,-81,72,27,42,32,-9,-84
-43,-103,-61,73,9,-82,61,24,35,29,-12,-93
-44,-105,-61,75,8,-83,56,23,32,30,-11,-97
-43,-104,-60,73,8,-82,50,10,21,18,-21,-98
-44,-99,-56,71,6,-78,46,4,15,13,-26,-98
-47,-89,-42,68,-2,-65,53,6,22,12,-28,-83
-47,-81,-34,64,-7,-57,53,0,19,6,-32,-77
-53,-78,-24,66,-15,-51,57,7,27,14,-21,-68
-52,-70,-19,61,-17,-45,61,8,29,15,-20,-59
-47,-66,-19,57,-14,-43,59,13,30,21,-14,-60
-45,-62,-17,53,-14,-39,61,20,38,28,-7,-54
-38,-59,-21,49,-8,-40,52,15,35,24,-8,-59
-36,-59,-23,47,-7,-41,48,17,36,27,-4,-60
-31,-55,-24,43,-3,-39,45,9,29,18,-11,-59
-27,-51,-24,39,-1,-38,40,7,27,17,-10,-63
-26,-43,-17,35,-4,-30,44,13,36,20,-6,-56
-27,-42,-15,34,-6,-28,44,11,36,18,-7,-58
-37,-46,-9,42,-14,-28,51,21,45,28,2,-57
-40,-45,-4,42,-18,-25,53,24,48,30,2,-53
-41,-44,-3,43,-19,-24,47,27,49,37,7,-55
-39,-39,0,39,-19,-20,47,34,55,43,11,-50
-27,-32,-4,30,-12,-18,40,30,49,39,8,-53
-21,-27,-6,24,-8,-17,36,32,50,43,13,-50
-11,-20,-8,16,-2,-14,32,25,45,35,7,-42
-5,-15,-10,10,2,-12,26,23,44,35,9,-39
-3,-7,-4,5,1,-6,31,29,54,38,14,-22
4,-2,-6,-1,5,-4,30,29,55,37,16,-18
7,-1,-8,-3,8,-4,35,41,65,49,29,-11
7,0,-7,-3,7,-4,38,44,69,51,31,-5
1,-7,-8,3,4,-7,36,49,72,57,36,-8
-7,-10,-3,9,-2,-7,38,56,79,63,41,-5
-10,-14,-4,12,-3,-9,32,52,75,59,38,-13
-13,-18,-5,16,-4,-11,30,52,74,61,40,-18
-9,-17,-7,13,-1,-12,26,38,62,50,28,-23
-4,-13,-8,8,2,-10,24,32,58,46,23,-24
1,-1,-1,0,1,-1,33,35,65,45,19,-8
5,6,1,-6,2,3,33,32,63,42,17,-6
2,8,6,-5,-2,7,37,43,71,55,32,-4
-2,8,10,-3,-6,9,38,43,70,54,32,0
-9,1,10,4,-10,5,35,44,66,54,33,-3
-13,-2,12,7,-12,5,37,49,70,57,35,2
-9,-4,5,6,-7,1,30,43,64,51,32,-4
-9,-8,1,8,-5,-3,26,45,63,53,35,-6
-5,-9,-4,7,0,-7,20,35,52,41,26,-9
-5,-12,-7,9,1,-10,14,29,46,33,21,-10
-9,-11,-2,10,-3,-7,18,28,49,26,15,6
-4,-8,-3,6,-1,-5,16,25,47,20,11,12
-2,-3,-1,3,-1,-2,22,36,57,32,22,21
1,3,1,-2,0,2,26,39,62,35,26,26
2,4,2,-3,0,3,24,45,65,44,38,20
1,6,5,-3,-2,5,28,52,72,51,44,21
2,4,2,-3,0,3,24,47,66,47,40,10
1,2,1,-2,0,2,22,48,66,50,41,3
5,3,-2,-4,4,1,18,37,57,40,31,-2
5,1,-4,-3,5,-2,13,31,49,33,25,-9
0,0,0,0,0,0,17,29,48,27,19,0
0,-1,-1,0,1,-1,14,21,41,19,10,-1
-4,-4,1,4,-2,-1,18,26,48,26,13,3
-4,-3,1,3,-2,-1,20,26,49,25,9,7
-4,-6,-2,5,-1,-4,20,32,53,32,13,3
-6,-7,-1,6,-2,-4,24,38,59,38,17,6
-4,-9,-5,7,1,-7,19,35,53,37,15,-3
-7,-14,-8,11,0,-11,17,36,52,41,19,-7
-6,-17,-11,12,2,-14,11,25,41,31,12,-12
-5,-18,-13,11,4,-15,6,19,35,27,9,-17
-3,-11,-8,7,2,-10,10,18,37,23,4,-8
-1,-9,-7,5,3,-8,7,10,29,16,-2,-8
-7,-10,-3,8,-2,-6,8,15,32,21,5,-3
-5,-5,1,5,-3,-2,8,9,24,13,0,5
-2,-1,1,1,-1,0,3,3,13,8,-1,7
1,5,4,-3,-1,5,0,-3,3,1,-3,14
10,11,1,-10,4,6,-12,-21,-20,-15,-10,7
9,11,2,-10,4,6,-22,-36,-38,-29,-15,0
10,11,1,-10,4,6,-34,-64,-67,-61,-36,-9
8,5,-3,-7,5,1,-49,-85,-94,-86,-53,-24
4,1,-3,-3,4,-1,-57,-100,-115,-111,-74,-27
2,-11,-14,4,8,-12,-71,-126,-149,-144,-102,-46
-6,-30,-24,18,9,-27,-77,-144,-176,-168,-122,-64
-14,-41,-27,27,7,-34,-81,-176,-215,-209,-161,-90
-25,-53,-28,39,1,-41,-85,-208,-256,-250,-201,-130
-37,-59,-21,48,-8,-40,-76,-236,-292,-290,-247,-174
-44,-62,-18,53,-13,-40,-70,-271,-337,-339,-303,-239
-60,-69,-9,64,-25,-39,-43,-293,-368,-379,-364,-305
-73,-73,1,73,-37,-36,-7,-321,-402,-431,-446,-378
-90,-93,-4,91,-43,-48,48,-323,-414,-463,-520,-458
-108,-120,-11,114,-48,-66,125,-305,-405,-485,-595,-531
-122,-162,-40,142,-41,-101,203,-266,-382,-494,-670,-614
-139,-216,-77,178,-31,-147,293,-194,-328,-476,-732,-692
-156,-280,-123,218,-17,-201,386,-103,-258,-443,-787,-759
-178,-357,-179,267,1,-268,480,15,-168,-383,-823,-825
-200,-413,-213,307,6,-313,560,135,-53,-298,-832,-834
-220,-459,-239,339,10,-349,617,250,69,-201,-826,-817
-227,-468,-241,347,7,-355,657,380,225,-59,-749,-755
-218,-445,-227,331,5,-336,677,503,393,98,-636,-663
-198,-411,-212,304,7,-312,684,642,576,288,-470,-559
-171,-359,-187,265,8,-273,687,790,776,500,-269,-429
-137,-298,-160,217,12,-229,666,908,930,691,-69,-309
-105,-229,-124,167,10,-177,638,1020,1067,885,146,-184
-68,-150,-82,109,7,-116,607,1083,1151,1014,318,-75
-33,-72,-38,52,2,-55,573,1119,1200,1110,473,14
-6,0,6,3,-6,3,541,1124,1215,1163,587,90
19,61,41,-40,-11,51,499,1095,1186,1171,661,138
46,114,69,-80,-11,91,455,1057,1143,1160,711,174
78,166,88,-122,-5,127,404,992,1070,1110,723,195
92,198,106,-145,-7,152,357,918,988,1042,710,205
93,223,130,-158,-19,177,320,836,904,954,675,221
92,242,150,-167,-29,196,282,752,820,867,633,228
84,258,174,-171,-45,216,253,686,757,800,602,241
80,275,195,-178,-57,235,224,617,694,733,569,250
75,286,210,-181,-68,248,193,561,640,683,551,250
72,290,219,-181,-73,254,169,509,590,633,529,249
73,285,212,-179,-69,249,137,452,528,576,498,228
72,271,200,-171,-64,235,115,407,472,524,468,207
74,254,180,-164,-53,217,93,350,404,455,417,179
70,232,163,-151,-46,197,73,299,341,391,367,151
60,214,154,-137,-47,184,62,247,286,324,310,138
59,201,142,-130,-41,171,45,197,231,262,257,122
58,192,134,-125,-38,163,36,165,197,222,222,119
57,183,126,-120,-34,154,23,132,169,184,192,120
54,168,115,-111,-31,141,8,112,152,166,180,121
48,153,105,-100,-29,129,-2,97,139,150,172,124
44,132,88,-88,-22,110,-21,77,115,132,162,111
41,112,71,-77,-15,92,-32,68,100,119,154,99
46,97,51,-71,-3,74,-43,46,74,91,130,82
46,83,37,-64,4,60,-50,28,51,68,110,64
43,76,33,-60,5,55,-48,9,32,43,85,59
40,70,30,-55,5,50,-51,-12,10,17,61,49
30,63,34,-47,-2,49,-45,-17,5,8,52,50
23,59,36,-41,-7,47,-43,-27,-3,-6,38,52
12,48,36,-30,-12,42,-43,-27,-3,-4,37,50
7,42,36,-25,-14,39,-41,-26,1,-4,35,53
9,35,26,-22,-9,30,-50,-31,-6,-10,28,42
9,27,19,-18,-5,23,-52,-28,-6,-7,30,37
15,24,9,-20,3,17,-57,-37,-17,-18,19,28
19,21,1,-20,9,11,-61,-44,-28,-27,11,20
22,23,1,-23,11,12,-59,-53,-38,-42,-4,24
25,23,-1,-24,13,11,-61,-66,-50,-56,-18,22
20,23,4,-21,8,13,-54,-64,-46,-55,-19,31
23,28,6,-26,9,17,-51,-65,-45,-57,-22,35
26,32,5,-29,10,19,-50,-55,-37,-44,-11,33
24,31,8,-28,8,20,-45,-48,-30,-37,-5,37
20,24,5,-22,8,14,-50,-52,-36,-37,-4,28
17,18,1,-18,8,10,-52,-49,-36,-33,0,23
23,17,-6,-20,15,5,-59,-58,-46,-44,-10,13
27,14,-12,-20,20,1,-64,-65,-55,-50,-16,6
30,17,-13,-23,21,2,-62,-73,-61,-61,-28,14
31,16,-15,-24,23,1,-65,-83,-71,-71,-39,15
26,15,-11,-20,18,2,-61,-80,-65,-69,-39,26
23,15,-7,-19,15,4,-62,-83,-67,-73,-44,31
16,12,-5,-14,11,4,-63,-76,-63,-65,-36,30
15,13,-1,-14,8,6,-59,-71,-55,-58,-31,38
19,14,-5,-17,12,5,-62,-71,-53,-55,-30,37
19,12,-7,-16,13,3,-61,-64,-49,-45,-20,35
24,11,-12,-18,18,0,-66,-69,-59,-49,-22,25
25,10,-15,-18,20,-3,-68,-74,-68,-54,-26,18
26,14,-12,-20,19,1,-62,-83,-75,-68,-42,25
27,14,-12,-20,20,1,-62,-94,-85,-80,-53,23
20,11,-8,-16,14,2,-53,-91,-81,-78,-51,30
19,12,-6,-16,13,3,-49,-94,-80,-80,-53,33
16,9,-7,-13,12,1,-47,-87,-73,-70,-42,31
17,11,-5,-14,11,3,-42,-83,-66,-63,-36,34
22,12,-10,-17,16,1,-47,-84,-69,-60,-33,24
19,8,-11,-14,15,-1,-48,-80,-68,-56,-29,18
19,4,-15,-12,17,-5,-55,-90,-82,-69,-40,8
21,2,-19,-12,20,-8,-60,-94,-90,-74,-46,3
27,9,-18,-18,22,-5,-57,-100,-94,-85,-57,11
30,11,-19,-21,25,-4,-59,-108,-101,-93,-64,11
26,11,-14,-18,20,-1,-53,-103,-93,-88,-58,19
27,14,-13,-21,20,1,-52,-105,-93,-91,-60,23
27,13,-14,-20,21,0,-51,-97,-86,-83,-51,22
25,13,-12,-19,18,1,-46,-93,-81,-79,-48,25
23,8,-15,-15,19,-3,-50,-95,-86,-78,-47,16
18,1,-18,-10,18,-8,-50,-92,-86,-72,-42,10
20,-6,-25,-7,23,-16,-57,-102,-98,-81,-50,-2
16,-13,-29,-1,22,-21,-61,-108,-106,-86,-54,-9
10,-15,-25,3,17,-20,-56,-118,-112,-98,-67,0
7,-19,-26,6,17,-22,-57,-126,-120,-108,-75,-1
1,-22,-23,10,12,-23,-49,-121,-116,-104,-72,9
5,-20,-25,8,15,-23,-47,-124,-118,-110,-76,14
9,-21,-29,6,19,-25,-45,-118,-115,-104,-70,15
10,-21,-31,5,20,-26,-40,-115,-111,-102,-70,19
12,-26,-37,7,24,-31,-44,-119,-115,-103,-72,12
12,-30,-41,9,26,-35,-43,-116,-113,-99,-68,9
19,-31,-49,6,34,-40,-49,-125,-124,-110,-75,1
24,-31,-54,4,39,-43,-53,-128,-130,-113,-78,-5
29,-24,-53,-3,41,-38,-51,-134,-135,-124,-88,1
32,-22,-53,-5,42,-37,-53,-141,-142,-131,-94,-1
24,-21,-46,-2,35,-33,-45,-137,-135,-126,-90,8
23,-20,-43,-2,33,-31,-41,-140,-135,-128,-93,14
21,-22,-42,0,31,-32,-37,-133,-129,-120,-84,18
18,-24,-42,3,30,-33,-31,-130,-126,-117,-82,24
18,-31,-49,6,33,-40,-34,-132,-133,-118,-81,16
19,-33,-52,7,36,-43,-34,-127,-131,-112,-75,15
29,-31,-59,1,44,-45,-42,-135,-137,-120,-81,11
35,-33,-67,-1,51,-50,-45,-138,-140,-121,-80,3
41,-33,-73,-4,57,-53,-40,-144,-144,-129,-87,2
38,-42,-80,2,59,-61,-42,-152,-153,-139,-97,-2
23,-56,-79,17,51,-68,-36,-150,-151,-140,-102,7
19,-62,-81,22,50,-72,-33,-153,-153,-146,-110,12
16,-68,-84,26,50,-76,-29,-146,-147,-137,-103,16
14,-72,-86,29,50,-79,-25,-142,-143,-132,-100,20
15,-81,-95,33,55,-88,-29,-144,-149,-130,-96,10
9,-89,-97,40,53,-93,-28,-142,-148,-126,-92,5
6,-94,-99,44,52,-96,-33,-153,-159,-136,-103,-5
4,-97,-101,46,53,-99,-35,-157,-163,-137,-105,-12
7,-92,-99,42,53,-95,-31,-162,-163,-143,-112,-10
8,-94,-102,42,55,-98,-32,-167,-167,-148,-116,-13
2,-99,-100,48,51,-100,-24,-160,-161,-144,-111,-4
2,-100,-102,49,52,-101,-20,-161,-160,-147,-114,1
0,-104,-104,52,52,-104,-16,-151,-151,-137,-105,6
-3,-106,-103,54,50,-105,-9,-145,-143,-131,-100,12
-5,-112,-108,58,52,-110,-10,-143,-144,-124,-92,6
-8,-118,-109,63,51,-114,-6,-137,-139,-115,-84,6
-5,-121,-116,63,55,-119,-9,-145,-146,-121,-88,-2
-4,-126,-122,65,59,-124,-9,-145,-149,-120,-87,-7
0,-125,-125,63,62,-125,-5,-149,-151,-127,-93,-4
5,-125,-130,60,67,-128,-5,-152,-154,-130,-97,-7
4,-124,-128,60,66,-126,5,-142,-143,-121,-94,0
5,-123,-128,59,67,-126,10,-140,-139,-122,-95,3
0,-128,-128,64,64,-128,16,-128,-129,-110,-84,4
-3,-130,-127,67,62,-128,21,-120,-120,-103,-79,10
-3,-135,-131,69,64,-133,16,-117,-119,-96,-73,4
-6,-138,-132,72,63,-135,18,-109,-113,-86,-65,4
-3,-140,-136,71,67,-138,14,-115,-119,-91,-69,-5
-1,-142,-140,71,70,-141,14,-113,-119,-89,-68,-10
3,-138,-140,67,72,-139,19,-115,-119,-96,-77,-5
7,-137,-144,64,76,-140,20,-115,-118,-97,-78,-6
6,-135,-141,64,74,-138,31,-102,-103,-84,-69,6
10,-132,-142,61,76,-137,35,-97,-98,-80,-66,9
11,-133,-143,61,77,-138,40,-83,-86,-65,-52,9
5,-137,-141,66,73,-139,45,-76,-79,-62,-50,12
-5,-148,-143,76,69,-145,42,-77,-82,-62,-52,3
-12,-153,-141,82,65,-147,43,-70,-77,-57,-50,0
-9,-152,-143,80,67,-147,37,-75,-84,-64,-57,-11
-7,-152,-145,79,70,-149,34,-73,-85,-64,-59,-18
-2,-148,-146,75,72,-147,35,-78,-86,-73,-71,-15
0,-149,-149,74,75,-149,33,-81,-89,-75,-76,-20
-4,-150,-146,77,71,-148,41,-71,-78,-65,-69,-15
-5,-150,-144,77,69,-147,45,-71,-77,-67,-73,-14
-11,-152,-141,81,65,-147,52,-63,-69,-58,-68,-14
-13,-150,-137,82,62,-143,59,-59,-64,-54,-68,-10
-13,-151,-138,82,62,-144,59,-59,-67,-50,-66,-18
-15,-152,-136,83,61,-144,63,-53,-64,-42,-61,-21
-11,-151,-140,81,65,-146,59,-59,-74,-47,-65,-33
-13,-156,-142,85,65,-149,55,-63,-79,-50,-68,-44
-16,-158,-142,87,63,-150,55,-75,-88,-65,-85,-48
-19,-163,-144,91,62,-153,53,-85,-97,-76,-96,-57
-27,-167,-140,97,57,-154,61,-83,-94,-76,-100,-55
-29,-169,-139,99,55,-154,62,-89,-100,-85,-111,-58
-34,-173,-138,104,52,-156,65,-85,-99,-82,-111,-60
-37,-173,-136,105,49,-154,68,-85,-100,-85,-115,-60
-39,-176,-137,107,49,-157,63,-87,-106,-88,-118,-71
-39,-176,-136,107,49,-156,65,-84,-106,-84,-117,-75
-32,-172,-140,102,54,-156,59,-93,-116,-92,-126,-87
-28,-172,-143,100,58,-158,57,-97,-122,-95,-129,-97
-21,-167,-146,94,63,-156,60,-106,-130,-109,-143,-99
-20,-169,-148,94,64,-159,56,-114,-140,-118,-153,-108
-28,-172,-144,100,58,-158,59,-112,-139,-119,-156,-107
-32,-175,-143,103,56,-159,58,-119,-145,-129,-166,-111
-40,-182,-142,111,51,-162,58,-116,-142,-127,-165,-114
-44,-184,-140,114,49,-162,59,-116,-140,-129,-169,-112
-44,-189,-145,116,51,-167,53,-118,-144,-130,-169,-120
-45,-192,-146,118,51,-169,51,-115,-142,-127,-166,-119
